index;Producto;Precio;Año;Mes;Origen
170;Aceite de oliva Virgen Extra;2.2116666666666664;2019;5;Infaoliva
171;Aceite de oliva Lampante;1.884076923076923;2019;6;Infaoliva
172;Aceite de oliva Virgen;1.9456153846153852;2019;6;Infaoliva
173;Aceite de oliva Virgen Extra;2.1655384615384614;2019;6;Infaoliva
174;Aceite de oliva Lampante;2.014538461538462;2019;7;Infaoliva
175;Aceite de oliva Virgen;2.098230769230769;2019;7;Infaoliva
176;Aceite de oliva Virgen Extra;2.280076923076923;2019;7;Infaoliva
177;Aceite de oliva Lampante;2.001;2019;8;Infaoliva
178;Aceite de oliva Virgen;2.007;2019;8;Infaoliva
179;Aceite de oliva Lampante;1.9653999999999996;2019;9;Infaoliva
180;Aceite de oliva Virgen;2.0108666666666664;2019;9;Infaoliva
181;Aceite de oliva Virgen Extra;2.138266666666667;2019;9;Infaoliva
182;Aceite de oliva Lampante;1.8691666666666673;2019;10;Infaoliva
183;Aceite de oliva Virgen;1.9127777777777775;2019;10;Infaoliva
184;Aceite de oliva Virgen Extra;2.026111111111111;2019;10;Infaoliva
185;Aceite de oliva Lampante;1.8462500000000004;2019;11;Infaoliva
186;Aceite de oliva Virgen;1.8968749999999996;2019;11;Infaoliva
187;Aceite de oliva Virgen Extra;2.001666666666667;2019;11;Infaoliva
188;Aceite de oliva Lampante;1.7316666666666662;2019;12;Infaoliva
189;Aceite de oliva Virgen;1.7810000000000001;2019;12;Infaoliva
190;Aceite de oliva Virgen Extra;1.9549999999999996;2019;12;Infaoliva
